image_id,p_180
test_00000,0.19384826270476177
test_00001,0.9875178361078123
test_00002,0.9999996182174485
test_00003,0.02656252095159425
test_00004,0.9710281857722753
test_00005,0.3187914226752534
test_00006,0.9707203330420902
test_00007,0.9927691937230564
test_00008,0.9995802759462076
test_00009,0.038358226378804657
test_00010,0.9824953817207115
test_00011,0.000640041967793886
test_00012,0.011450541153948795
test_00013,0.9986949808636788
test_00014,0.9913889596266997
test_00015,0.9999404183476212
test_00016,0.994742980852061
test_00017,9.267270110741597e-06
test_00018,0.6883476459225781
test_00019,0.0898708523753787
test_00020,5.679424685465455e-06
test_00021,0.004205707894193416
test_00022,0.9977299598466495
test_00023,0.0007965991296040399
test_00024,0.2760315407237881
test_00025,0.9522542150186009
test_00026,0.9999888706079232
test_00027,0.4353919487084729
test_00028,0.5413042730690735
test_00029,0.9984312283803688
test_00030,0.003970460613545328
test_00031,0.9308826157351693
test_00032,0.861487679449138
test_00033,0.9977989630796986
test_00034,0.8637198542563362
test_00035,0.9988710762055459
test_00036,0.42759363981207404
test_00037,0.001387857957973862
test_00038,8.072379700469765e-05
test_00039,3.438740118425817e-05
test_00040,0.9453196317028684
test_00041,0.0005699017478387516
test_00042,0.99989079733142
test_00043,0.0008030205419810176
test_00044,0.06403065469287371
test_00045,0.701160819836967
test_00046,0.001884041920528746
test_00047,0.9999995930733634
test_00048,0.9853914483479893
test_00049,0.8769462617605157
test_00050,0.9949698708424756
test_00051,0.012332768363637078
test_00052,1.4406806356453107e-08
test_00053,0.8992301983395066
test_00054,0.10600087793667338
test_00055,0.9739056806981242
test_00056,3.7853395496454066e-05
test_00057,0.9751773497537396
test_00058,0.00011635932603982116
test_00059,0.49474513140978443
test_00060,0.7855503924477389
test_00061,0.00013874079141783008
test_00062,0.026345234768272788
test_00063,0.0002453843232144748
test_00064,0.061938912624316965
test_00065,0.9999912460169839
test_00066,0.47859482126470654
test_00067,0.05727576335102936
test_00068,9.77124568704088e-08
test_00069,0.0027363989037294204
test_00070,0.9584159571083822
test_00071,0.5759418957410561
test_00072,0.9998733351420862
test_00073,0.14969559074389832
test_00074,0.31747799035200147
test_00075,0.5301874356492345
test_00076,0.004640395708531857
test_00077,0.9996915407772715
test_00078,0.9999765425200722
test_00079,0.5540660542431984
test_00080,0.0005681526633734131
test_00081,0.976945332600839
test_00082,0.5042849290383957
test_00083,0.0009944102435577068
test_00084,0.9999999989427494
test_00085,0.6140467516504408
test_00086,0.9803041429499201
test_00087,0.9989988766074156
test_00088,0.03143265409250938
test_00089,0.9004553689252041
test_00090,0.13286378727926196
test_00091,1.3885908577523013e-07
test_00092,0.9314698728546495
test_00093,0.11250966145783248
test_00094,0.8777014948734505
test_00095,0.7228200908079592
test_00096,0.0980722912756631
test_00097,0.00026845184190636045
test_00098,8.296067121513926e-07
test_00099,0.027138987814074037
test_00100,0.0920106107828714
test_00101,0.7636174036041788
test_00102,2.105367593450884e-05
test_00103,0.999999974393802
test_00104,0.9119941097410762
test_00105,5.2776028560921997e-05
test_00106,0.05385082768985683
test_00107,0.9992023577039582
test_00108,0.10472731370827457
test_00109,0.0012951665996569844
test_00110,0.9999769805641662
test_00111,0.08437807189770008
test_00112,0.8990661433408976
test_00113,0.001078645310123946
test_00114,0.9408732193562914
test_00115,0.5707768405144258
test_00116,0.02764561926819938
test_00117,0.9518822623185333
test_00118,0.9992438289299163
test_00119,0.5039599512907953
test_00120,0.0031385818777646905
test_00121,0.9999413165267472
test_00122,0.9998375811616482
test_00123,0.9998455800121214
test_00124,1.7010643709321193e-05
test_00125,0.005327222149121684
test_00126,8.342267596546256e-06
test_00127,0.9999922144389364
test_00128,0.0015487665232516933
test_00129,0.009084077619389223
test_00130,0.9992666973142044
test_00131,6.847789481720285e-05
test_00132,0.20755141824170426
test_00133,0.9563400984230779
test_00134,8.219394039177788e-05
test_00135,0.4835144703463149
test_00136,0.0901048327224557
test_00137,0.9309667092212582
test_00138,0.9999995057784227
test_00139,0.03332941877873991
test_00140,0.9999025127457618
test_00141,0.0005755433162604986
test_00142,0.986106881344957
test_00143,0.9597148068811997
test_00144,0.01502558462559343
test_00145,0.9252646206660482
test_00146,1.9665016604580973e-05
test_00147,0.9990654205852578
test_00148,0.0003212269642423251
test_00149,7.590641191130041e-05
test_00150,3.14575095671583e-05
test_00151,0.994221353076786
test_00152,0.08504788821919408
test_00153,0.071532591665127
